area,listing_id,type,price_per_unit,bedrooms_per_unit
Ardmore,31,Private,1695,1
Ardmore,15,Shared,2400,2
Ardmore,19,Private,1075,1
Ardmore,14,Shared,2196,2
Ardmore,14,Shared,2396,3
Ardmore,3,Private,1625,1
Ardmore,3,Private,1695,1
Ardmore,3,Private,1800,1
Ardmore,3,Private,1850,1
Ardmore,10,Private,2128,1
Ardmore,10,Shared,2098,2
Ardmore,10,Shared,2975,2
Ardmore,10,Shared,2992,2
Ardmore,10,Shared,3150,2
Ardmore,10,Shared,3483,3
Ardmore,18,Shared,2500,2
Ardmore,22,Private,1750,1
Ardmore,11,Shared,1100,1
Ardmore,11,Shared,1100,1
Ardmore,11,Shared,1300,1
Ardmore,5,Private,1450,1
Ardmore,5,Shared,2200,2
Ardmore,5,Shared,2200,2
Ardmore,20,Private,2000,1
BrynMawr,14,Shared,1850,2
BrynMawr,22,Private,1250,1
BrynMawr,22,Shared,2750,3
BrynMawr,5,Private,1720,1
BrynMawr,5,Private,1770,1
BrynMawr,5,Private,1789,1
BrynMawr,5,Private,1820,1
BrynMawr,5,Private,1870,1
BrynMawr,5,Private,1920,1
BrynMawr,5,Shared,2285,2
BrynMawr,5,Shared,2335,2
BrynMawr,5,Shared,2385,2
BrynMawr,5,Shared,2435,2
BrynMawr,19,Private,1500,1
BrynMawr,9,Private,1552,1
BrynMawr,9,Private,1638,1
BrynMawr,9,Private,1643,1
BrynMawr,9,Private,1693,1
BrynMawr,9,Private,1693,1
BrynMawr,9,Private,1693,1
BrynMawr,9,Private,1693,1
BrynMawr,9,Private,1693,1
BrynMawr,9,Private,1693,1
BrynMawr,9,Private,1693,1
BrynMawr,9,Private,1743,1
BrynMawr,9,Private,1748,1
BrynMawr,9,Shared,2238,2
BrynMawr,9,Shared,2406,2
BrynMawr,9,Shared,2441,2
BrynMawr,9,Shared,2453,2
BrynMawr,9,Shared,2551,2
BrynMawr,9,Shared,2655,2
BrynMawr,9,Shared,2661,2
BrynMawr,9,Shared,2661,2
BrynMawr,9,Shared,2661,2
BrynMawr,9,Shared,2676,2
BrynMawr,9,Shared,2676,2
BrynMawr,9,Shared,2676,2
BrynMawr,9,Shared,2691,2
BrynMawr,9,Shared,2706,2
BrynMawr,9,Shared,2741,2
BrynMawr,9,Shared,2741,2
BrynMawr,9,Shared,3026,2
BrynMawr,9,Shared,3394,3
BrynMawr,3,Private,1300,1
BrynMawr,3,Shared,1600,2
BrynMawr,8,Private,1825,1
BrynMawr,8,Private,1895,1
BrynMawr,8,Shared,2120,2
BrynMawr,8,Shared,2120,2
BrynMawr,8,Shared,2120,2
BrynMawr,8,Shared,2120,2
BrynMawr,8,Shared,2120,2
BrynMawr,8,Shared,2120,2
BrynMawr,7,Shared,2399,2
BrynMawr,7,Shared,2449,2
BrynMawr,7,Shared,2574,2
BrynMawr,7,Shared,2674,2
BrynMawr,10,Private,1800,1
BrynMawr,10,Private,1800,1
BrynMawr,20,Private,1525,1
BrynMawr,20,Shared,2000,2
BrynMawr,20,Shared,2550,3
Haverford,6,Private,1375,1
Haverford,6,Private,1375,1
Haverford,6,Private,1460,1
Haverford,6,Private,1700,1
Haverford,6,Private,1700,1
Haverford,6,Private,1729,1
Haverford,6,Private,2770,1
Haverford,6,Private,2990,1
Haverford,3,Shared,2300,2
Haverford,4,Private,1625,1
Haverford,1,Private,1947,1
Haverford,1,Private,1997,1
Haverford,1,Shared,2541,2
Haverford,7,Shared,1876,2
Haverford,7,Private,1898,1
Haverford,7,Private,1901,1
Haverford,7,Private,1975,1
Haverford,7,Shared,2123,2
Haverford,7,Private,2153,1
Haverford,7,Shared,2164,2
Haverford,7,Shared,2185,2
Haverford,7,Shared,2416,2
Haverford,7,Shared,2426,2
Haverford,7,Shared,2537,2
Haverford,7,Shared,2887,3
Haverford,8,Shared,1895,2
Wayne,12,Shared,2575,2
Wayne,12,Shared,2575,2
Wayne,15,Private,1525,1
Wayne,32,Private,1850,1
Wayne,32,Private,1850,1
Wayne,7,Shared,2650,2
Wayne,7,Shared,2700,2
Wayne,7,Shared,2700,2
Wayne,9,Private,3350,1
Wayne,9,Private,3350,1
Wayne,9,Private,3350,1
Wayne,9,Private,3350,1
Wayne,9,Private,3455,1
Wayne,9,Private,3455,1
Wayne,9,Private,3455,1
Wayne,9,Private,3455,1
Wayne,10,Private,1933,1
Wayne,10,Private,1933,1
Wayne,10,Private,1933,1
Wayne,10,Private,1933,1
Wayne,10,Private,1933,1
Wayne,10,Shared,2233,2
Wayne,10,Shared,2308,2
Wayne,10,Shared,2308,2
Wayne,10,Shared,2308,2
Wayne,23,Private,1780,1
Wayne,27,Shared,2150,2
Wayne,28,Private,1895,1
Wayne,21,Private,2100,1
Wayne,37,Shared,4900,2
Wayne,31,Shared,2200,2
Wayne,33,Private,1650,1
Wayne,33,Private,1650,1
